name,url,description,duration,adaptive_support,remote_support,test_type
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,Account Manager Solution : The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,Administrative Professional - Short Form: The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,Agency Manager Solution: The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,"Apprentice + 8.0 Job Focused Assessment: The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,"Apprentice 8.0 Job Focused Assessment: The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,Bank Administrative Assistant - Short Form: The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,Bank Collections Agent - Short Form: This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,Bank Operations Supervisor - Short Form: The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Bilingual Spanish Reservation Agent Solution: The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"Bookkeeping, Accounting, Auditing Clerk Short Form: The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,Branch Manager - Short Form: This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure…,1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,"Cashier Solution: The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/," Global Skills Development Report : This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,".NET Framework 4.5: The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application…",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,".NET MVC (New): Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,".NET MVVM (New): Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,".NET WCF (New): Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.",1,No,Yes,"Knowledge & Skills, Personality & Behavior, Ability & Aptitude"
